"","outfvc","outsvc","outsnip","outpeak"
"outfvc",1,0.950104462083797,0.570541513295454,0.755324190326625
"outsvc",0.950104462083797,1,0.574397085677539,0.771931263673164
"outsnip",0.570541513295454,0.574397085677539,1,0.604266821519782
"outpeak",0.755324190326625,0.771931263673164,0.604266821519782,1
